"Time (s) Run #5","Angle (rad) Run #5","Angular Velocity (rad/s) Run #5","Angular Acceleration (rad/s²) Run #5","State Run #5"
23.800,4.987,3.520,-24.725,
23.840,,,,0.00
23.850,5.131,2.109,-28.022,
23.900,5.201,0.596,-27.974,
23.950,5.188,-0.814,-24.532,
24.000,5.109,-1.949,-18.471,
24.050,4.979,-2.705,-11.054,
24.100,4.826,-3.054,-3.491,
24.150,4.660,-3.025,3.297,
24.200,4.512,-2.676,8.581,
24.250,4.385,-2.094,11.926,
24.300,4.298,-1.411,13.138,
24.350,4.246,-0.713,12.411,
24.400,4.228,-0.116,10.181,
24.450,4.241,0.335,6.981,
24.500,4.267,0.596,3.394,
24.550,4.307,0.669,-0.145,
24.600,4.342,0.567,-3.151,
24.650,4.368,0.320,-5.236,
24.700,4.376,0.000,-6.157,
24.750,4.368,-0.335,-5.866,
24.800,4.342,-0.625,-4.557,
24.850,4.302,-0.814,-2.521,
24.900,4.254,-0.887,-0.097,
24.950,4.211,-0.829,2.473,
25.000,4.167,-0.640,5.042,
25.050,4.141,-0.320,7.321,
25.076,,,,1.00
25.100,4.132,0.116,8.969,
25.132,,,,0.00
25.150,4.150,0.611,9.793,
25.200,4.193,1.120,9.890,
25.250,4.263,1.614,9.308,
25.300,4.355,2.080,7.757,
25.350,4.472,2.443,4.897,
25.400,4.608,2.618,0.727,
25.450,4.743,2.545,-4.315,
25.500,4.869,2.196,-9.648,
25.550,4.974,1.571,-14.447,
25.600,5.035,0.698,-17.744,
25.650,5.048,-0.291,-18.956,
25.700,5.005,-1.265,-18.132,
25.750,4.917,-2.153,-15.708,
25.800,4.787,-2.880,-12.072,
25.850,4.621,-3.389,-7.709,
25.900,4.437,-3.651,-3.297,
25.950,4.250,-3.694,0.630,
26.000,4.062,-3.563,3.879,
26.050,3.888,-3.287,6.497,
26.100,3.731,-2.894,8.581,
26.150,3.595,-2.414,10.230,
26.200,3.486,-1.862,11.587,
26.250,3.408,-1.251,12.799,
26.300,3.360,-0.582,14.060,
26.350,3.347,0.145,15.466,
26.371,,,,1.00
26.400,3.373,0.960,16.968,
26.429,,,,0.00
26.450,3.438,1.847,18.374,
26.500,3.556,2.807,19.247,
26.550,3.718,3.811,18.908,
26.600,3.936,4.771,16.387,
26.650,4.202,5.556,10.860,
26.700,4.503,5.978,2.085,
26.750,4.817,5.861,-9.211,
26.800,5.114,5.091,-21.283,
26.850,5.349,3.680,-31.949,
26.900,5.498,1.774,-39.221,
26.950,5.537,-0.407,-41.791,
27.000,5.459,-2.589,-39.221,
27.050,5.267,-4.494,-32.192,
27.100,4.992,-5.905,-22.350,
27.150,4.656,-6.749,-11.781,
27.200,4.298,-7.039,-2.424,
27.250,3.936,-6.894,4.363,
27.300,3.600,-6.487,7.902,
27.350,3.286,-5.992,8.387,
27.400,3.002,-5.571,6.497,
27.450,2.736,-5.294,3.151,
27.500,2.478,-5.236,-0.776,
27.550,2.221,-5.381,-4.654,
