"Time (s) Run #8","Angle (rad) Run #8","Angular Velocity (rad/s) Run #8","Angular Acceleration (rad/s²) Run #8","State Run #8"
16.500,-1.392,-16.653,3.685,
16.550,-2.199,-16.348,2.036,
16.600,-3.002,-16.479,0.970,
16.650,-3.840,-16.653,9.211,
16.700,-4.695,-16.057,29.040,
16.750,-5.502,-14.006,55.317,
16.800,-6.157,-10.414,79.558,
16.850,-6.580,-5.701,95.363,
16.900,-6.741,-0.495,100.550,
16.950,-6.628,4.683,95.363,
17.000,-6.257,9.367,80.479,
17.050,-5.659,13.046,57.596,
17.100,-4.900,15.286,31.513,
17.150,-4.071,16.042,9.551,
17.200,-3.259,15.824,-2.473,
17.250,-2.487,15.373,-4.315,
17.300,-1.737,15.213,-1.745,
17.350,-0.982,15.359,-2.957,
17.400,-0.201,15.315,-13.769,
17.450,0.585,14.384,-34.179,
17.500,1.292,12.057,-58.614,
17.550,1.841,8.363,-79.655,
17.600,2.160,3.752,-91.921,
17.650,2.225,-1.207,-93.424,
17.700,2.033,-5.949,-84.261,
17.750,1.606,-9.963,-65.886,
17.800,0.995,-12.770,-41.791,
17.850,0.275,-14.152,-17.841,
17.900,-0.467,-14.297,-0.630,
17.950,-1.178,-13.788,6.109,
18.000,-1.841,-13.323,3.782,
18.050,-2.487,-13.294,-1.600,
18.100,-3.155,-13.657,-2.618,
18.150,-3.853,-13.934,5.721,
18.200,-4.573,-13.468,23.659,
18.250,-5.249,-11.766,46.639,
18.300,-5.799,-8.727,67.922,
18.350,-6.157,-4.683,81.982,
18.400,-6.283,-0.175,86.200,
18.450,-6.170,4.276,80.334,
18.500,-5.838,8.174,65.401,
18.550,-5.319,11.068,43.924,
18.600,-4.682,12.654,20.653,
18.650,-4.006,12.974,1.551,
18.700,-3.355,12.465,-8.775,
18.750,-2.753,11.723,-9.502,
18.800,-2.195,11.272,-3.782,
18.850,-1.649,11.316,2.812,
18.900,-1.078,11.737,4.606,
18.950,-0.476,12.101,-1.891,
19.000,0.153,11.868,-16.823,
19.050,0.750,10.617,-36.846,
19.100,1.257,8.174,-56.578,
19.150,1.606,4.741,-70.831,
19.200,1.750,0.771,-76.407,
19.250,1.680,-3.229,-72.431,
19.300,1.414,-6.778,-59.729,
19.350,0.973,-9.439,-40.773,
19.400,0.423,-10.937,-19.829,
19.450,-0.161,-11.301,-1.891,
19.500,-0.733,-10.865,9.163,
19.550,-1.261,-10.079,11.926,
19.600,-1.737,-9.410,7.854,
19.650,-2.182,-9.178,0.582,
19.700,-2.635,-9.410,-5.575,
19.750,-3.115,-9.905,-7.321,
19.800,-3.626,-10.356,-2.909,
19.850,-4.163,-10.428,7.951,
19.900,-4.695,-9.759,23.804,
19.950,-5.175,-8.116,41.306,
20.000,-5.541,-5.527,56.141,
20.050,-5.751,-2.269,64.674,
20.100,-5.777,1.236,64.917,
20.150,-5.620,4.523,56.820,
20.200,-5.301,7.156,42.179,
20.250,-4.869,8.858,24.289,
20.300,-4.381,9.556,7.078,
20.350,-3.883,9.410,-6.012,
20.400,-3.421,8.727,-13.041,
20.450,-3.006,7.883,-14.254,
20.500,-2.640,7.170,-11.490,
20.550,-2.299,6.690,-6.690,
20.600,-1.977,6.472,-0.921,
20.650,-1.662,6.574,4.994,
20.700,-1.335,7.010,9.405,
20.750,-0.969,7.650,10.133,
20.800,-0.567,8.218,5.672,
20.850,-0.135,8.407,-3.975,
20.900,0.297,7.956,-17.259,
20.950,0.689,6.720,-31.513,
21.000,0.995,4.727,-43.585,
21.050,1.182,2.182,-50.857,
21.100,1.222,-0.582,-51.827,
21.150,1.117,-3.229,-46.348,
21.200,0.886,-5.411,-35.440,
21.250,0.550,-6.894,-21.235,
21.300,0.166,-7.549,-6.739,
21.350,-0.231,-7.461,5.284,
21.400,-0.598,-6.865,13.138,
21.450,-0.925,-5.992,16.726,
21.500,-1.200,-5.076,17.114,
21.550,-1.427,-4.232,15.756,
21.600,-1.619,-3.491,13.672,
21.650,-1.776,-2.851,11.054,
21.700,-1.898,-2.356,7.999,
21.750,-2.003,-2.051,5.042,
21.800,-2.099,-1.891,2.763,
21.850,-2.190,-1.804,1.067,
21.900,-2.278,-1.774,-0.727,
21.950,-2.365,-1.847,-3.006,
22.000,-2.457,-2.065,-5.478,
22.050,-2.566,-2.414,-7.709,
22.100,-2.697,-2.851,-9.648,
22.150,-2.849,-3.374,-11.490,
22.200,-3.028,-4.000,-12.993,
22.250,-3.246,-4.712,-13.332,
22.300,-3.499,-5.411,-11.587,
22.350,-3.792,-5.963,-7.030,
22.400,-4.106,-6.225,0.533,
22.450,-4.429,-6.007,10.472,
22.500,-4.730,-5.207,21.138,
22.550,-4.970,-3.840,30.398,
22.600,-5.127,-2.051,36.506,
22.650,-5.184,-0.044,38.300,
22.700,-5.131,1.949,35.294,
22.750,-4.979,3.651,27.974,
22.800,-4.747,4.843,17.841,
22.850,-4.472,5.454,6.933,
22.900,-4.184,5.498,-2.957,
22.950,-3.905,5.076,-10.666,
23.000,-3.665,4.334,-15.756,
23.050,-3.469,3.418,-18.617,
23.100,-3.320,2.429,-19.877,
23.150,-3.224,1.396,-19.974,
23.200,-3.181,0.393,-19.199,
23.250,-3.190,-0.538,-17.987,
23.300,-3.238,-1.396,-16.872,
23.350,-3.329,-2.211,-15.902,
23.400,-3.460,-2.996,-14.593,
23.450,-3.630,-3.709,-12.217,
23.500,-3.835,-4.276,-8.193,
23.550,-4.067,-4.596,-2.327,
23.600,-4.307,-4.567,5.091,
23.650,-4.538,-4.116,13.090,
23.700,-4.734,-3.229,20.314,
23.750,-4.874,-2.007,25.453,
23.800,-4.939,-0.582,27.586,
23.850,-4.935,0.873,26.374,
23.900,-4.848,2.167,22.059,
23.950,-4.704,3.156,15.563,
24.000,-4.520,3.752,8.048,
24.050,-4.315,3.956,0.533,
24.100,-4.110,3.782,-6.109,
24.150,-3.927,3.287,-11.248,
24.200,-3.774,2.589,-14.641,
24.250,-3.665,1.774,-16.484,
24.300,-3.595,0.902,-17.065,
24.350,-3.574,0.029,-16.581,
24.400,-3.595,-0.785,-15.272,
24.450,-3.656,-1.513,-13.478,
24.500,-3.748,-2.138,-11.296,
24.550,-3.875,-2.662,-8.484,
24.600,-4.019,-3.025,-4.800,
24.650,-4.184,-3.171,-0.194,
24.700,-4.346,-3.069,5.042,
24.750,-4.499,-2.676,10.423,
24.800,-4.625,-2.007,15.078,
24.850,-4.708,-1.105,17.938,
24.900,-4.739,-0.116,18.423,
24.950,-4.717,0.814,16.678,
25.000,-4.651,1.600,13.332,
25.050,-4.551,2.182,8.921,
25.100,-4.424,2.516,3.927,
25.150,-4.289,2.574,-1.067,
25.200,-4.158,2.385,-5.478,
25.250,-4.045,1.993,-8.872,
25.300,-3.953,1.454,-11.054,
25.350,-3.896,0.844,-12.023,
25.400,-3.870,0.218,-11.975,
25.450,-3.875,-0.378,-11.102,
25.500,-3.910,-0.916,-9.502,
25.550,-3.971,-1.353,-7.272,
25.600,-4.049,-1.658,-4.606,
25.650,-4.141,-1.818,-1.697,
25.700,-4.237,-1.833,1.261,
25.750,-4.328,-1.687,4.072,
25.800,-4.411,-1.411,6.545,
25.850,-4.472,-1.018,8.484,
25.900,-4.516,-0.538,9.696,
25.950,-4.529,-0.015,9.793,
26.000,-4.516,0.495,8.630,
26.050,-4.477,0.887,6.497,
26.100,-4.420,1.149,3.927,
26.150,-4.359,1.280,1.357,
26.200,-4.289,1.280,-1.115,
26.250,-4.224,1.164,-3.345,
26.300,-4.171,0.931,-5.091,
26.350,-4.128,0.625,-6.157,
26.400,-4.106,0.291,-6.400,
26.450,-4.102,-0.044,-5.866,
26.500,-4.110,-0.320,-4.751,
26.550,-4.136,-0.524,-3.345,
26.600,-4.167,-0.654,-1.939,
26.650,-4.202,-0.713,-0.582,
26.700,-4.241,-0.713,0.727,
