"Time (s) Run #4","Angle (rad) Run #4","Angular Velocity (rad/s) Run #4","Angular Acceleration (rad/s²) Run #4","State Run #4"
11.300,-1.418,17.933,1.115,
11.350,-0.497,18.181,-10.860,
11.400,0.441,17.351,-34.276,
11.450,1.305,14.893,-61.765,
11.500,1.985,10.937,-84.358,
11.550,2.426,6.065,-97.302,
11.600,2.601,0.873,-100.502,
11.650,2.509,-4.232,-95.363,
11.700,2.164,-8.916,-82.127,
11.750,1.593,-12.755,-60.650,
11.800,0.842,-15.243,-33.307,
11.850,0.004,-16.101,-6.303,
11.900,-0.820,-15.563,12.945,
11.950,-1.575,-14.326,20.411,
12.000,-2.247,-13.134,17.890,
12.050,-2.867,-12.406,11.684,
12.100,-3.469,-12.115,8.824,
12.150,-4.075,-11.839,13.720,
12.200,-4.673,-11.054,26.519,
12.250,-5.214,-9.352,43.633,
12.300,-5.646,-6.647,59.632,
12.350,-5.908,-3.156,69.474,
12.400,-5.973,0.640,70.395,
12.450,-5.834,4.203,62.396,
12.500,-5.528,7.112,47.754,
12.550,-5.092,9.090,30.010,
12.600,-4.581,10.079,13.235,
12.650,-4.054,10.239,1.018,
12.700,-3.543,9.934,-4.800,
12.750,-3.059,9.541,-4.412,
12.800,-2.596,9.338,0.533,
12.850,-2.138,9.512,7.369,
12.900,-1.662,10.123,12.411,
12.950,-1.139,10.966,11.587,
13.000,-0.559,11.606,2.327,
13.050,0.048,11.505,-14.690,
13.100,0.633,10.283,-35.585,
13.150,1.121,7.883,-54.881,
13.200,1.453,4.552,-67.825,
13.250,1.593,0.771,-71.898,
13.300,1.527,-2.953,-66.904,
13.350,1.278,-6.181,-54.202,
13.400,0.881,-8.567,-36.022,
13.450,0.384,-9.876,-15.466,
13.500,-0.148,-10.065,3.636,
13.550,-0.654,-9.323,17.890,
13.600,-1.100,-8.029,25.647,
13.650,-1.462,-6.545,27.489,
13.700,-1.750,-5.149,25.550,
13.750,-1.968,-3.956,22.156,
13.800,-2.138,-2.953,18.859,
13.850,-2.260,-2.094,16.096,
13.900,-2.343,-1.353,13.720,
13.950,-2.391,-0.727,11.732,
14.000,-2.413,-0.204,10.423,
14.050,-2.409,0.276,9.890,
14.100,-2.387,0.771,9.890,
14.150,-2.334,1.265,10.181,
14.200,-2.256,1.774,11.054,
14.250,-2.160,2.327,12.896,
14.300,-2.029,3.025,15.514,
14.350,-1.863,3.883,18.181,
14.400,-1.645,4.872,19.974,
