"Time (s) Run #6","Angle (rad) Run #6","Angular Velocity (rad/s) Run #6","Angular Acceleration (rad/s²) Run #6","State Run #6"
16.750,3.430,-12.435,8.484,
16.800,2.827,-11.679,10.084,
16.850,2.273,-11.170,4.945,
16.900,1.732,-11.141,-1.600,
16.950,1.174,-11.490,-4.121,
17.000,0.585,-11.839,0.824,
17.050,-0.026,-11.708,13.720,
17.100,-0.620,-10.676,32.046,
17.150,-1.134,-8.538,51.245,
17.200,-1.510,-5.396,66.419,
17.250,-1.697,-1.614,73.886,
17.300,-1.676,2.327,71.946,
17.350,-1.453,5.905,60.941,
17.400,-1.056,8.668,43.148,
17.450,-0.545,10.327,22.689,
17.500,0.017,10.850,4.412,
17.550,0.572,10.530,-7.709,
17.600,1.082,9.788,-12.120,
17.650,1.549,9.076,-10.036,
17.700,1.977,8.668,-4.266,
17.750,2.400,8.639,2.133,
17.800,2.832,8.945,6.690,
17.850,3.286,9.439,7.175,
17.900,3.774,9.876,1.648,
17.950,4.289,9.861,-10.327,
18.000,4.791,9.018,-26.713,
18.050,5.227,7.199,-43.536,
18.100,5.541,4.523,-56.578,
18.150,5.698,1.294,-62.686,
18.200,5.677,-2.051,-60.456,
18.250,5.480,-5.032,-50.518,
18.300,5.144,-7.287,-35.294,
18.350,4.721,-8.625,-18.181,
18.400,4.250,-9.047,-2.570,
18.450,3.787,-8.727,8.824,
18.500,3.364,-7.956,14.787,
18.550,2.989,-7.069,15.805,
18.600,2.662,-6.269,13.284,
18.650,2.369,-5.672,8.630,
18.700,2.103,-5.367,2.909,
18.750,1.846,-5.381,-2.715,
18.800,1.575,-5.687,-7.175,
18.850,1.283,-6.167,-9.793,
18.900,0.960,-6.734,-9.939,
18.950,0.611,-7.272,-6.739,
19.000,0.227,-7.563,0.582,
19.050,-0.166,-7.359,11.684,
19.100,-0.532,-6.472,24.725,
19.150,-0.838,-4.858,36.797,
19.200,-1.043,-2.647,44.894,
19.250,-1.113,-0.145,47.075,
19.300,-1.052,2.283,43.100,
19.350,-0.873,4.334,34.179,
19.400,-0.598,5.803,22.301,
19.450,-0.266,6.589,9.745,
19.500,0.083,6.720,-1.454,
19.550,0.423,6.341,-9.987,
19.600,0.729,5.614,-15.369,
19.650,0.990,4.698,-17.744,
19.700,1.200,3.752,-17.696,
19.750,1.361,2.880,-16.290,
19.800,1.484,2.123,-14.641,
19.850,1.571,1.440,-13.332,
19.900,1.628,0.800,-12.266,
19.950,1.649,0.204,-11.151,
20.000,1.645,-0.320,-10.181,
20.050,1.614,-0.785,-9.842,
20.100,1.566,-1.265,-10.327,
20.150,1.492,-1.804,-11.296,
20.200,1.388,-2.400,-12.314,
20.250,1.252,-3.040,-13.138,
20.300,1.086,-3.723,-13.478,
20.350,0.881,-4.422,-12.702,
20.400,0.641,-5.061,-10.084,
20.450,0.371,-5.512,-5.091,
20.500,0.079,-5.658,2.376,
20.550,-0.209,-5.352,11.684,
20.600,-0.476,-4.509,21.332,
20.650,-0.681,-3.156,29.186,
20.700,-0.803,-1.454,33.549,
20.750,-0.829,0.349,33.695,
20.800,-0.764,2.051,29.865,
20.850,-0.615,3.447,22.883,
20.900,-0.401,4.407,13.963,
20.950,-0.157,4.858,4.654,
21.000,0.100,4.829,-3.636,
21.050,0.340,4.422,-9.987,
21.100,0.550,3.752,-14.254,
21.150,0.720,2.938,-16.775,
21.200,0.846,2.036,-17.987,
21.250,0.925,1.105,-18.229,
21.300,0.956,0.189,-17.744,
21.350,0.942,-0.684,-16.872,
21.400,0.886,-1.498,-15.805,
21.450,0.790,-2.269,-14.447,
21.500,0.659,-2.967,-12.460,
21.550,0.489,-3.549,-9.405,
21.600,0.297,-3.956,-5.042,
21.650,0.087,-4.102,0.727,
21.700,-0.127,-3.927,7.515,
21.750,-0.319,-3.360,14.350,
21.800,-0.476,-2.443,20.023,
21.850,-0.572,-1.280,23.368,
21.900,-0.607,0.000,23.853,
21.950,-0.572,1.207,21.526,
22.000,-0.476,2.225,16.968,
22.050,-0.340,2.953,11.054,
22.100,-0.170,3.345,4.606,
22.150,0.009,3.403,-1.503,
22.200,0.179,3.156,-6.642,
22.250,0.332,2.691,-10.569,
22.300,0.454,2.065,-13.284,
22.350,0.541,1.324,-14.835,
22.400,0.589,0.538,-15.223,
22.450,0.593,-0.233,-14.593,
22.500,0.563,-0.945,-13.235,
22.550,0.497,-1.571,-11.296,
22.600,0.401,-2.094,-8.775,
22.650,0.284,-2.473,-5.624,
22.700,0.148,-2.676,-1.891,
22.750,0.009,-2.676,2.230,
22.800,-0.127,-2.458,6.545,
22.850,-0.244,-2.022,10.666,
22.900,-0.336,-1.367,13.866,
22.950,-0.388,-0.567,15.320,
23.000,-0.393,0.247,14.738,
23.050,-0.358,0.960,12.557,
23.100,-0.292,1.527,9.357,
23.150,-0.201,1.920,5.575,
23.200,-0.092,2.094,1.600,
23.250,0.017,2.065,-2.133,
23.300,0.118,1.862,-5.333,
23.350,0.209,1.513,-7.854,
23.400,0.275,1.047,-9.454,
23.450,0.314,0.524,-9.987,
23.500,0.327,0.015,-9.551,
23.550,0.314,-0.451,-8.436,
23.600,0.279,-0.844,-6.884,
23.650,0.227,-1.149,-4.994,
23.700,0.161,-1.353,-2.860,
23.750,0.087,-1.440,-0.630,
23.800,0.013,-1.411,1.551,
23.850,-0.057,-1.280,3.636,
23.900,-0.118,-1.047,5.527,
23.950,-0.166,-0.713,6.933,
24.000,-0.192,-0.320,7.466,
24.050,-0.196,0.073,6.981,
24.100,-0.183,0.407,5.672,
24.150,-0.153,0.654,3.927,
24.200,-0.113,0.800,2.182,
24.250,-0.070,0.858,0.679,
24.300,-0.026,0.858,-0.630,
24.350,0.017,0.800,-1.939,
24.400,0.057,0.669,-3.200,
24.450,0.087,0.465,-4.024,
24.500,0.105,0.233,-4.121,
24.550,0.109,0.029,-3.636,
24.600,0.105,-0.131,-2.909,
24.650,0.096,-0.262,-2.133,
24.700,0.079,-0.349,-1.309,
24.750,0.057,-0.393,-0.485,
24.800,0.039,-0.393,0.242,
24.850,0.017,-0.364,0.921,
24.900,0.000,-0.305,1.503,
24.950,-0.013,-0.204,1.794,
25.000,-0.022,-0.102,1.648,
25.050,-0.022,-0.029,1.164,
25.100,-0.022,0.015,0.679,
