"Time (s) Run #3","Angle (rad) Run #3","Angular Velocity (rad/s) Run #3","Angular Acceleration (rad/s²) Run #3","State Run #3"
21.700,2.902,7.839,6.787,
21.750,3.312,8.174,0.970,
21.800,3.735,8.087,-9.018,
21.850,4.141,7.374,-21.671,
21.900,4.499,5.934,-34.519,
21.950,4.760,3.825,-44.506,
22.000,4.896,1.280,-48.918,
22.050,4.891,-1.324,-46.445,
22.100,4.752,-3.592,-37.670,
22.150,4.507,-5.236,-24.774,
22.200,4.202,-6.109,-10.472,
22.240,,,,1.00
22.250,3.870,-6.240,2.909,
22.296,,,,0.00
22.300,3.556,-5.730,13.817,
22.350,3.281,-4.741,21.574,
22.400,3.072,-3.462,26.228,
22.450,2.932,-2.036,28.410,
22.500,2.867,-0.567,28.895,
22.550,2.875,0.887,28.216,
22.600,2.958,2.283,26.519,
22.650,3.107,3.578,23.513,
22.700,3.320,4.698,18.520,
22.750,3.587,5.527,10.860,
22.800,3.888,5.890,0.436,
22.850,4.198,5.643,-11.829,
22.900,4.477,4.712,-24.095,
22.950,4.691,3.156,-34.179,
23.000,4.808,1.149,-40.094,
23.050,4.813,-1.047,-40.627,
23.100,4.699,-3.113,-35.779,
23.150,4.485,-4.771,-26.859,
23.200,4.202,-5.861,-15.999,
23.250,3.879,-6.356,-5.333,
23.300,3.547,-6.327,3.539,
23.350,3.233,-5.905,9.890,
23.400,2.950,-5.251,13.866,
23.450,2.705,-4.465,16.047,
23.494,,,,1.00
23.500,2.500,-3.607,17.017,
23.549,,,,0.00
23.550,2.343,-2.734,17.259,
23.600,2.230,-1.876,17.308,
23.650,2.155,-1.018,17.550,
23.700,2.125,-0.131,17.987,
23.750,2.142,0.785,18.568,
23.800,2.203,1.716,19.393,
23.850,2.313,2.705,20.459,
23.900,2.470,3.767,21.332,
23.950,2.688,4.872,21.138,
24.000,2.958,5.949,18.762,
24.050,3.286,6.865,12.945,
24.100,3.656,7.403,2.957,
24.150,4.049,7.301,-10.617,
24.200,4.416,6.400,-25.550,
24.250,4.717,4.683,-38.688,
24.300,4.909,2.356,-47.172,
24.350,4.961,-0.262,-49.306,
24.400,4.878,-2.807,-44.942,
24.450,4.669,-4.945,-35.246,
24.500,4.359,-6.443,-22.398,
24.550,3.997,-7.199,-9.066,
24.600,3.617,-7.272,2.473,
24.650,3.251,-6.836,10.811,
24.700,2.923,-6.065,15.659,
24.748,,,,1.00
24.750,2.640,-5.163,17.696,
24.800,2.409,-4.247,18.035,
24.804,,,,0.00
24.850,2.217,-3.345,17.647,
24.900,2.073,-2.473,16.920,
24.950,1.972,-1.644,16.096,
25.000,1.911,-0.873,15.417,
25.050,1.885,-0.116,14.932,
25.100,1.898,0.625,14.544,
25.150,1.950,1.338,14.254,
25.200,2.033,2.036,14.302,
25.250,2.151,2.749,14.690,
25.300,2.308,3.505,15.078,
25.350,2.500,4.276,14.932,
25.400,2.736,5.032,13.575,
25.450,3.006,5.701,10.327,
25.500,3.312,6.152,4.606,
25.550,3.635,6.254,-3.636,
25.600,3.953,5.861,-13.623,
25.650,4.241,4.901,-23.756,
25.700,4.464,3.418,-31.852,
25.750,4.595,1.571,-35.973,
25.800,4.625,-0.364,-35.101,
25.850,4.551,-2.109,-29.525,
25.900,4.398,-3.432,-20.702,
25.950,4.189,-4.218,-10.423,
26.000,3.958,-4.465,-0.194,
26.008,,,,1.00
26.050,3.726,-4.203,9.066,
26.064,,,,0.00
26.100,3.521,-3.505,16.629,
26.150,3.364,-2.458,21.865,
26.200,3.268,-1.222,24.629,
26.250,3.242,0.073,25.259,
26.300,3.277,1.353,24.192,
26.350,3.377,2.545,21.429,
26.400,3.539,3.563,16.726,
26.450,3.744,4.291,9.890,
26.500,3.979,4.625,0.970,
26.550,4.224,4.451,-9.405,
26.600,4.446,3.694,-19.780,
26.650,4.612,2.400,-28.071,
26.700,4.699,0.742,-32.531,
26.750,4.691,-1.018,-32.531,
26.800,4.590,-2.647,-28.604,
26.850,4.416,-3.971,-21.962,
26.900,4.180,-4.887,-13.914,
26.950,3.910,-5.367,-5.721,
27.000,3.630,-5.425,1.600,
27.050,3.355,-5.149,7.418,
27.100,3.107,-4.625,11.490,
27.150,2.889,-3.942,14.011,
27.200,2.710,-3.185,15.417,
27.250,2.570,-2.385,16.338,
27.267,,,,1.00
27.300,2.470,-1.556,17.259,
27.323,,,,0.00
27.350,2.413,-0.669,18.326,
27.400,2.400,0.276,19.586,
27.450,2.439,1.280,21.041,
27.500,2.526,2.371,22.592,
27.550,2.670,3.549,23.707,
27.600,2.880,4.785,23.368,
27.650,3.150,5.978,20.265,
27.700,3.482,6.952,13.138,
27.750,3.862,7.461,1.600,
27.800,4.254,7.243,-13.235,
27.850,4.616,6.167,-28.798,
27.900,4.900,4.276,-41.839,
27.950,5.066,1.789,-49.596,
28.000,5.088,-0.931,-50.663,
28.050,4.965,-3.505,-45.330,
28.100,4.721,-5.629,-35.149,
28.150,4.381,-7.112,-22.350,
28.200,3.984,-7.869,-9.502,
28.250,3.569,-7.970,0.970,
28.300,3.172,-7.621,7.563,
28.350,2.801,-7.069,10.181,
28.400,2.465,-6.501,9.745,
28.450,2.155,-6.036,7.418,
28.500,1.868,-5.730,4.169,
28.519,,,,1.00
28.550,1.588,-5.614,0.824,
28.575,,,,0.00
28.600,1.313,-5.672,-1.842,
28.650,1.025,-5.847,-3.103,
28.700,0.729,-6.050,-2.424,
28.750,0.419,-6.167,0.485,
28.800,0.105,-6.080,5.527,
28.850,-0.201,-5.672,12.169,
28.900,-0.476,-4.887,19.441,
28.950,-0.702,-3.709,25.889,
29.000,-0.860,-2.211,29.816,
29.050,-0.929,-0.582,29.913,
29.100,-0.912,0.931,26.083,
29.150,-0.825,2.123,19.344,
29.200,-0.685,2.909,11.102,
29.250,-0.519,3.243,2.521,
29.300,-0.345,3.142,-5.478,
29.350,-0.192,2.647,-12.072,
29.400,-0.070,1.862,-16.629,
29.450,0.000,0.902,-18.762,
29.500,0.022,-0.102,-18.520,
29.550,-0.013,-1.018,-16.193,
29.600,-0.087,-1.774,-12.266,
